132
Listing(address='5531 Arbor Chase Dr, Ann Arbor, MI 48103', price='$2,250/mo', beds=2, bath=2.5, area=1520)
Listing(address='1501 S State St, Ann Arbor, MI 48104', price='$6,600/mo', beds=6, bath=2.0, area=None)
Listing(address='803 McKinley Ave, Ann Arbor, MI 48104', price='$3,000/mo', beds=3, bath=2.5, area=None)
Listing(address='830 Henry St, Ann Arbor, MI', price='$1,750+/mo', beds=1, bath=1.0, area=None)
Listing(address='3141 Asher Rd, Ann Arbor, MI 48104', price='$3,000/mo', beds=2, bath=2.5, area=1704)
Listing(address='140 Hill St, Ann Arbor, MI 48104', price='$5,300/mo', beds=4, bath=2.5, area=1450)
Listing(address='1201 White St, Ann Arbor, MI 48104', price='$6,000/mo', beds=6, bath=2.0, area=None)
Listing(address='1445 S State St, Ann Arbor, MI 48104', price='$6,500/mo', beds=6, bath=2.0, area=None)
Listing(address='912 Mary St, Ann Arbor, MI 48104', price='$7,500/mo', beds=5, bath=5.5, area=None)
Listing(address='548 S 5th Ave, Ann Arbor, MI 48104', price='$1,400/mo', beds=1, bath=1.0, area=None)
Listing(address='411 N Ingalls St, Ann Arbor, MI 48104', price='$1,300/mo', beds=1, bath=1.0, area=386)
Listing(address='1104 Packard St, Ann Arbor, MI', price='$4,700+/mo', beds=4, bath=2.0, area=1011)
Listing(address='1340 N University Ct, Ann Arbor, MI', price='$1,220+/mo', beds=0, bath=1.0, area=None)
Listing(address='2340 Alder Ct, Ann Arbor, MI 48103', price='$3,000/mo', beds=4, bath=2.5, area=2550)
Listing(address='1111 White St, Ann Arbor, MI 48104', price='$2,750/mo', beds=2, bath=1.0, area=None)
Listing(address='507 Liberty Pointe Dr, Ann Arbor, MI 48103', price='$2,000/mo', beds=2, bath=2.5, area=1950)
Listing(address='2979 Verle Ave, Ann Arbor, MI 48108', price='$2,470/mo', beds=3, bath=1.5, area=1100)
Listing(address='1532 Packard St, Ann Arbor, MI 48104', price='$4,500/mo', beds=5, bath=2.5, area=None)
Listing(address='1206 Broadway St, Ann Arbor, MI 48105', price='$2,300/mo', beds=2, bath=1.0, area=None)
Listing(address='4261 Dexter Ann Arbor Rd, Ann Arbor, MI 48103', price='$1,575/mo', beds=2, bath=1.0, area=984)
Listing(address='549 S 5th Ave, Ann Arbor, MI 48104', price='$4,500/mo', beds=4, bath=2.0, area=None)
Listing(address='610 S Forest Ave, Ann Arbor, MI 48104', price='$1,095/mo', beds=0, bath=1.0, area=420)
Listing(address='2825 Lakehurst La, Ann Arbor, MI 48105', price='$2,750/mo', beds=3, bath=2.5, area=2184)
Listing(address='307 S 7th St, Ann Arbor, MI 48103', price='$2,000/mo', beds=3, bath=1.0, area=None)
Listing(address='1330 N University Ct, Ann Arbor, MI 48104', price='$3,145/mo', beds=3, bath=1.5, area=945)
Listing(address='221 N 1st St, Ann Arbor, MI 48104', price='$2,100/mo', beds=2, bath=1.5, area=None)
Listing(address='1000 Oakland Ave, Ann Arbor, MI', price='$1,305+/mo', beds=1, bath=1.0, area=380)
Listing(address='1610 Pontiac St, Ann Arbor, MI 48105', price='$2,000/mo', beds=3, bath=1.0, area=None)
Listing(address='520 Packard St, Ann Arbor, MI 48104', price='$1,425/mo', beds=1, bath=1.0, area=590)
Listing(address='807 S Main St, Ann Arbor, MI 48104', price='$2,700/mo', beds=3, bath=1.0, area=1100)
Listing(address='142 Hill St, Ann Arbor, MI 48104', price='$5,300/mo', beds=4, bath=2.5, area=1450)
Listing(address='511 E Hoover Ave, Ann Arbor, MI 48104', price='$1,350/mo', beds=1, bath=1.0, area=625)
Listing(address='720 S Main St, Ann Arbor, MI 48104', price='$3,200/mo', beds=4, bath=1.0, area=1800)
Listing(address='818 Packard St, Ann Arbor, MI 48104', price='$8,135/mo', beds=7, bath=2.0, area=None)
Listing(address='904 Lincoln Ave UNIT A, Ann Arbor, MI 48104', price='$6,000/mo', beds=4, bath=4.5, area=None)
Listing(address='1307 Belmar Pl, Ann Arbor, MI 48103', price='$2,835/mo', beds=3, bath=1.0, area=1110)
Listing(address='506 W William St, Ann Arbor, MI 48103', price='$3,400/mo', beds=5, bath=2.0, area=None)
Listing(address='910 Dewey Ave, Ann Arbor, MI 48104', price='$4,620/mo', beds=5, bath=2.0, area=None)
Listing(address='1002 Packard St, Ann Arbor, MI 48104', price='$6,980/mo', beds=6, bath=2.0, area=None)
Listing(address='396 W Delhi Rd, Ann Arbor, MI 48103', price='$2,050/mo', beds=2, bath=2.0, area=None)
Listing(address='1021 Vaughn St, Ann Arbor, MI 48104', price='$2,515/mo', beds=2, bath=1.5, area=955)
Listing(address='319 John St, Ann Arbor, MI 48104', price='$1,400/mo', beds=2, bath=1.0, area=616)
Listing(address='100 Tulip Tree Ct, Ann Arbor, MI 48103', price='$1,900/mo', beds=2, bath=3.0, area=1044)
Listing(address='510 N State St, Ann Arbor, MI 48104', price='$5,800/mo', beds=6, bath=2.5, area=None)
Listing(address='214 Packard St, Ann Arbor, MI 48104', price='$6,400/mo', beds=6, bath=2.0, area=2804)
Listing(address='1563 Jones Dr, Ann Arbor, MI 48105', price='$2,000/mo', beds=3, bath=1.5, area=1400)
Listing(address='909 Church St, Ann Arbor, MI 48104', price='$2,560/mo', beds=2, bath=1.5, area=960)
Listing(address='723 McKinley Ave, Ann Arbor, MI 48104', price='$6,400/mo', beds=6, bath=2.5, area=None)
Listing(address='830 Sylvan Ave, Ann Arbor, MI 48104', price='$2,885/mo', beds=3, bath=1.0, area=None)
Listing(address='3127 Plymouth Rd, Ann Arbor, MI 48105', price='$2,600/mo', beds=3, bath=2.5, area=1850)
Listing(address='403 Church St, Ann Arbor, MI 48104', price='$6,740/mo', beds=5, bath=2.0, area=None)
Listing(address='320 S Division St, Ann Arbor, MI', price='$1,225+/mo', beds=0, bath=1.0, area=300)
Listing(address='118 N State St, Ann Arbor, MI 48104', price='$7,720/mo', beds=7, bath=4.0, area=None)
Listing(address='930 S Forest Ave, Ann Arbor, MI 48104', price='$9,570/mo', beds=7, bath=2.0, area=None)
Listing(address='887 Addington Ln, Ann Arbor, MI 48108', price='$2,000/mo', beds=2, bath=2.0, area=2393)
Listing(address='924 Sylvan Ave, Ann Arbor, MI 48104', price='$2,910/mo', beds=3, bath=2.0, area=None)
Listing(address='3290 Roon The Ben Dr, Ann Arbor, MI 48108', price='$2,000/mo', beds=3, bath=2.5, area=1895)
Listing(address='214 E Washington St, Ann Arbor, MI 48104', price='$1,120/mo', beds=1, bath=1.0, area=None)
Listing(address='217 N Thayer St, Ann Arbor, MI 48104', price='$3,365/mo', beds=4, bath=1.0, area=None)
Listing(address='3211 McComb St, Ann Arbor, MI 48108', price='$1,595/mo', beds=2, bath=1.0, area=None)
